category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
Payload delivery,sha256,a48fa4714aa7174249d6a4e3333654a84f9150c8d7957db7137716f77b3d449e,Merged from event 63202,1,1604250714,,,,,
Payload delivery,sha256,abdb94cb27ac6d545cc0b92567080f31acf812145bb44a287759339b2c096963,Merged from event 63202,1,1604250714,,,,,
Payload delivery,sha256,b73d1c6ccb24cf3137e5f572c04d220cff7bbac20419dcad09950bb0badc10b8,Merged from event 63202,1,1604250714,,,,,
Payload delivery,sha256,313be72ce037a8086a99d367759613016dad6f72f3d9d9fc790de6f5c004021d,Merged from event 63202,1,1604250714,,,,,
Payload delivery,sha256,b66612dafa345608725c99a094112fcc8c3d25f843ca350839675e30bc90e8cb,Merged from event 63202,1,1604250714,,,,,
Payload delivery,sha256,e39e1d080f7409f4dc22f3fc040a309519103bd4fdbf74d5dd67d4a916a58bc7,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,1bef562e8ad9ea0b64b237de9513387bb87a6370f4df8027dbb96163506275fb,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,6e4b7d405ab1ad163119355e28d1d385b2b9c45d114dca7e819849d3057afa33,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,573fced8e1da77ccf56fb9d4c9aef358e722a08ff824d852fc76e04e952ffece,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,7ca194aad9f09267295ab1965fbabb43b99ba618ffdcb94ec87e67d6844d28ab,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,7703c3385894dd3468c468745c747bf5c75f37a9b1fcaf2a1d0f291ecb7abce6,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,70f4fd189e0d6c3f01960be5596ceaa5cbcdca659272532d2929a48595b3557f,Merged from event 67433,1,1604250755,,tlp:white,,,
Payload delivery,sha256,9ce56e1403469fc74c8ff61dde4e83ad72597c66ce07bbae12fa70183687b32d,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,8d7eb0b7251bc4a40ebc9142a59ed8af16fb11cf8168e76dca48a78d6d7e4595,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,6bbd10ac20782542f40f78471c30c52f0619b91639840e60831dd665f9396365,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,a2e9d9a00e7e75ab1d5e96dd327a89b55608a0319461f2866aadada5bd50e728,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,e3fb0ab2f3d11f12c11b3ee1e1781eaec5581def820afe7e01902f31ba9e1936,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,4d0114b1292714a13d43a4c0de3ea4498fa752354ad4f5b73a8ba441af6064ae,By Netscout  ASERT Team,1,1604252205,,"DONOT,APT-C35",,,
Payload delivery,sha256,600e7cfeea0ef8bd23cf95602a6b873898aa51848909aad1a7e8d4c5403797af,By Netscout  ASERT Team,1,1604252206,,"DONOT,APT-C35",,,
Payload delivery,sha256,7d893d4f077e8e76a44a7830c5c3806dc956a6ef1a06c9f2dc33477c70f8cc9b,By Netscout  ASERT Team,1,1604252206,,"DONOT,APT-C35",,,
Payload delivery,sha256,50281cdd1b22f2b85de5809bf69ebd10e399410f519e357c1cb941c5dc7c95e1,By Netscout  ASERT Team,1,1604252206,,"DONOT,APT-C35",,,
Payload delivery,sha256,980e02eca1d0fc68c903f16619b926f3e8238b3be00825b3aa47721405eb9a4d,,1,1604254364,,,,,
Payload delivery,sha256,5f7f91f4bf4fe56e8d6ff95376039e77f93f62b8bf5c4c7020b70706a9543549,,1,1604254364,,,,,
Payload delivery,sha256,0000ed13a35580c9aa6f0477fc72f780ec2a4c431e9689cfb6ba0ebf6af0c9b2,,1,1604254364,,,,,
Payload delivery,sha256,9faa04db69f6e1e2b7208aa6faf080acf45d3e1b4d17af041030757f81bdff39,,1,1604254364,,,,,
Payload delivery,sha256,b7b15a9f0c623d2aa908d778c16ea70a8676dc68505ee7acb7d48d6dcd4202a0,,1,1604254364,,,,,
Payload delivery,sha256,9d8a6cbd2c59b05a0fc3234865cba47cb199157f39893c1ba45e95827ee3ef30,,1,1604254364,,,,,
Payload delivery,sha256,bb4ff349e1ddb07bdd65f5ed8b67d4454492cf1692068ea212275cacbf74a772,,1,1604254364,,,,,
Payload delivery,sha256,920f18c5ffb59856deccf2d984ab07793fefeea9a5a45d1e8a94a57da9d2347c,,1,1604254364,,,,,
Payload delivery,sha256,0efaeb17f3febb68b3a14236aa1f231158a1690872914a0a2eb7c48c49fbd27a,,1,1604254364,,,,,
Payload delivery,sha256,de78bb7ef226907b1ca8fe17d7ad7ea939e484713cff39b19b99a179c36bc060,,1,1604254364,,,,,
Payload delivery,sha256,ede626090f8eb1aeba5cc29b478550b4bd45b5d3651d76ea627d47d7ee498f11,,1,1604254364,,,,,
Payload delivery,sha256,96ed039ee33b1d206c54d0228d4f0f63696fe4084d210ea5aedea4f21304a145,,1,1604254364,,,,,
